sample_no,time,current
543,2.715e-07,3.53817e-07
544,2.72e-07,3.53817e-07
545,2.725e-07,3.53817e-07
546,2.73e-07,3.53817e-07
547,2.735e-07,3.53817e-07
548,2.74e-07,3.53817e-07
549,2.745e-07,0.000299393
550,2.75e-07,0.0019947
551,2.755e-07,2.46574e-05
552,2.76e-07,3.53817e-07
553,2.765e-07,3.53817e-07
554,2.77e-07,3.53817e-07
555,2.775e-07,3.53817e-07
556,2.78e-07,3.53817e-07
557,2.785e-07,3.53817e-07
558,2.79e-07,3.53817e-07
559,2.795e-07,0.000130271
560,2.8e-07,0.000914225
561,2.805e-07,3.53817e-07
562,2.81e-07,3.53817e-07
563,2.815e-07,3.53817e-07
564,2.82e-07,3.53817e-07
565,2.825e-07,3.53817e-07
566,2.83e-07,3.53817e-07
567,2.835e-07,3.53817e-07
568,2.84e-07,3.53817e-07
569,2.845e-07,0.000303282
570,2.85e-07,0.00196927
571,2.855e-07,2.2804e-05
572,2.86e-07,3.53817e-07
573,2.865e-07,3.53817e-07
574,2.87e-07,3.53817e-07
575,2.875e-07,3.53817e-07
576,2.88e-07,3.53817e-07
577,2.885e-07,3.53817e-07
578,2.89e-07,3.53817e-07
579,2.895e-07,0.000130269
580,2.9e-07,0.000914227
581,2.905e-07,3.53817e-07
582,2.91e-07,3.53817e-07
583,2.915e-07,3.53817e-07
584,2.92e-07,3.53817e-07
585,2.925e-07,3.53817e-07
586,2.93e-07,3.53817e-07
587,2.935e-07,3.53817e-07
588,2.94e-07,3.53817e-07
589,2.945e-07,0.000305288
590,2.95e-07,0.00205405
591,2.955e-07,2.55022e-05
592,2.96e-07,3.53817e-07
593,2.965e-07,3.53817e-07
594,2.97e-07,3.53817e-07
595,2.975e-07,3.53817e-07
596,2.98e-07,3.53817e-07
597,2.985e-07,3.53817e-07
598,2.99e-07,3.53817e-07
599,2.995e-07,0.000370083
600,3e-07,0.00150241
601,3.005e-07,3.53817e-07
602,3.01e-07,3.53817e-07
603,3.015e-07,3.53817e-07
604,3.02e-07,3.53817e-07
605,3.025e-07,3.53817e-07
606,3.03e-07,3.53817e-07
607,3.035e-07,3.53817e-07
608,3.04e-07,3.53817e-07
609,3.045e-07,8.66612e-05
610,3.05e-07,0.000705836
611,3.055e-07,1.27682e-06
612,3.06e-07,3.53817e-07
613,3.065e-07,3.53817e-07
614,3.07e-07,3.53817e-07
615,3.075e-07,3.53817e-07
616,3.08e-07,3.53817e-07
617,3.085e-07,3.53817e-07
618,3.09e-07,3.53817e-07
619,3.095e-07,0.000132665
620,3.1e-07,0.00091072
621,3.105e-07,3.53817e-07
622,3.11e-07,3.53817e-07
623,3.115e-07,3.53817e-07
624,3.12e-07,3.53817e-07
625,3.125e-07,3.53817e-07
626,3.13e-07,3.53817e-07
627,3.135e-07,3.53817e-07
628,3.14e-07,3.53817e-07
629,3.145e-07,8.65017e-05
630,3.15e-07,0.000692389
631,3.155e-07,3.53817e-07
632,3.16e-07,3.53817e-07
633,3.165e-07,3.53817e-07
634,3.17e-07,3.53817e-07
635,3.175e-07,3.53817e-07
636,3.18e-07,3.53817e-07
637,3.185e-07,3.53817e-07
